,locus_tag,old_locus_tag,OctoberProduct,SAdLSApdb,SAdLSApreTMS,SAdLSApreTMS2,SAdLSApdbDescription,pfamID,pfamPreTMS,pfamPreTMS2,pfamDescription,hhblitsID,hhblitsProb,hhblitsDescription
WP_010938400.1,DVU_RS05220,DVU1101,hypothetical,5IV5_EA,0.7801,0.2933,"Baseplate wedge protein gp6, Baseplate; T4, baseplate-tail tube complex, pre-attachment; 4.11A {Enterobacteria phage T4}",PF10076.10,0.6427,0.7933,DUF2313 ; Uncharacterised protein conserved in bacteria (DUF2313),6U5B_0,99.86,"Tri1a PA0618, Sheath PA0622, Tube; bacteriocin, pyocin, VIRAL PROTEIN, ANTIMICROBIAL; 3.5A {Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)}"
WP_010938404.1,DVU_RS05240,DVU1105,hypothetical,3D37_A,0.8733,0.6249,"Tail protein, 43 kDa; tail protein, structural genomics, PSI; 2.1A {Neisseria meningitidis MC58} SCOP: b.106.1.1",PF14594.7,0.7711,0.6154,Sipho_Gp37 ; Siphovirus ReqiPepy6 Gp37-like protein,6U5H_B,99.87,"Probable bacteriophage protein Pyocin R2; bacteriocin, pyocin, UNKNOWN FUNCTION; 4.0A {Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)}"
WP_010938405.1,DVU_RS05245,DVU1106,hypothetical,6RAO_G,0.7104,0.5884,"Afp1, Afp2, Afp3, Afp5, Afp9; Anti-feeding prophage, secretion system, AFP; 3.1A {Serratia entomophila}",PF06995.12,0.5330,0.7765,Phage_P2_GpU ; Phage P2 GpU,6J0N_f,86.66,"Pvc1, Pvc9, Pvc11, Pvc12, Pvc4; assembly, Photorhabdus asymbiotica, PVC, contractile; 3.5A {Photorhabdus asymbiotica subsp. asymbiotica (strain ATCC 43949 / 3105-77)}"
WP_010938407.1,DVU_RS05255,DVU1108,hypothetical,3FGX_A,0.7605,0.7379,RBSTP2171; STRUCTURAL GENOMICS BACILLUS STEAROTHERMOPHILUS; 2.9A {BACILLUS STEAROTHERMOPHILUS},PF08748.12,0.6296,0.6605,Phage_TAC_4 ; Phage tail assembly chaperone,3FGX_A,99.90,RBSTP2171; STRUCTURAL GENOMICS  BACILLUS STEAROTHERMOPHILUS; 2.9A {BACILLUS STEAROTHERMOPHILUS}
WP_010938409.1,DVU_RS05265,DVU1110,hypothetical,6GKX_A,0.8070,0.8218,"Putative phage XkdM-like protein; Diffocin Tube, Structural protein; 1.5A {Peptoclostridium difficile (strain 630)}",PF09393.11,0.7935,0.8386,DUF2001 ; Phage tail tube protein,6GKX_A,99.45,"Putative phage XkdM-like protein; Diffocin Tube, Structural protein; 1.5A {Peptoclostridium difficile (strain 630)}"
WP_010938411.1,DVU_RS05275,DVU1112,hypothetical,2CBL_A,0.3981,0.2193,"PROTO-ONCOGENE CBL, ZAP-70; PROTO-ONCOGENE, SIGNAL TRANSDUCTION, PHOSPHOTYROSINE BINDING; HET: PTR; 2.1A {Homo sapiens} SCOP: a.39.1.7, d.93.1.1, a.48.1.1",PF09756.10,0.3737,0.2981,DDRGK ; DDRGK domain,2LFC_A,36.36,"Fumarate reductase, flavoprotein subunit (E.C.1.3.99.1); Structural Genomics, NORTHEAST STRUCTURAL GENOMICS; NMR {Lactobacillus plantarum}"
WP_010938412.1,DVU_RS05280,DVU1113,hypothetical,2GJV_E,0.6468,0.6559,"PROTEIN; Structural genomics, Unknown function, PSI; 2.39A {Salmonella typhimurium} SCOP: d.323.1.2",PF16724.6,0.6254,0.5081,T4-gp15_tss ; T4-like virus Myoviridae tail sheath stabiliser,2QKL_B,39.05,"SPBC3B9.21 protein, SPAC19A8.12 protein (E.C.3.6.1.30); protein-protein complex, HYDROLASE; 2.33A {Schizosaccharomyces pombe} SCOP: a.242.1.1"
WP_010938416.1,DVU_RS05300,DVU1117,head decoration protein,1TD4_A,0.8445,0.8445,"Head decoration protein; SHP, Viral protein; 1.5A {Enterobacteria phage P21} SCOP: b.85.2.1",PF02924.15,0.7903,0.7844,HDPD ; Bacteriophage lambda head decoration protein D,1TD4_A,99.78,"Head decoration protein; SHP, Viral protein; 1.5A {Enterobacteria phage P21} SCOP: b.85.2.1"
WP_010938417.1,DVU_RS05305,DVU1118,hypothetical,6U5Z_B,0.4201,0.2225,"Lon protease (E.C.3.4.21.53); Lon protease, hexamer, HYDROLASE;{Escherichia coli}",PF10123.10,0.6795,0.6600,Mu-like_Pro ; Mu-like prophage I protein,4P3H_A,44.30,"KSHV Protease; protein-protein interaction inhibition, serine protease; HET: GOL, 25G, DMS; 1.45A {Human herpesvirus 8}"
WP_010938420.1,DVU_RS05320,DVU1121,OB-fold putative lipoprotein,3E9I_C,0.5092,0.2318,"Lysyl-tRNA synthetase (E.C.6.1.1.6); aminoacyl tRNA synthetase, LIGASE, PROTEIN; HET: XAH, 1PE; 2.2A {Bacillus stearothermophilus}",PF12869.8,0.5717,0.6316,tRNA_anti-like ; tRNA_anti-like,3F1Z_A,99.72,"putative nucleic acid-binding lipoprotein; YP_001337197.1, putative nucleic acid-binding lipoprotein; HET: MSE, PEG; 2.46A {Klebsiella pneumoniae subsp. pneumoniae MGH 78578}"
WP_010938421.1,DVU_RS05325,DVU1122,hypothetical,3EZK_E,0.8076,0.6967,"DNA packaging protein Gp17; pentameric motor, DNA packaging, Alternative; 34.0A {Bacteriophage T4}",PF03354.16,0.7756,0.8180,Terminase_1 ; Phage Terminase,3EZK_B,100.00,"DNA packaging protein Gp17; pentameric motor, DNA packaging, Alternative; 34.0A {Bacteriophage T4}"
WP_014524317.1,DVU_RS05330,DVU1123,hypothetical,4Y66_C,0.5669,0.5559,"Mnd1, Putative tbpip family protein; cell cycle; 3.2A {Giardia lamblia ATCC 50803}",PF11985.9,0.5357,0.5821,DUF3486 ; Protein of unknown function (DUF3486),2RN7_A,97.82,"IS629 orfA; helix, all alpha, UNKNOWN FUNCTION; NMR {Shigella flexneri}"
WP_010938423.1,DVU_RS05335,DVU1124,hypothetical,6NRC_4,0.8210,0.6570,"Prefoldin subunit 1, Prefoldin subunit; TRiC/CCT, PFD, CryoEM, Molecular Chaperone; 8.3A {Homo sapiens}",PF01920.21,0.8212,0.6736,Prefoldin_2 ; Prefoldin subunit,6JFV_C,58.05,"Keratin, type I cytoskeletal 14; Intermediate filaments, Keratinocytes, Skin, Epithelium; 2.6A {Homo sapiens}"
WP_010938424.1,DVU_RS05340,DVU1125,hypothetical,5L0F_A,0.4423,0.4151,"Vinculin; 5-Helix bundle, cytoskelatal protein, phospholipids; HET: GOL; 2.76A {Homo sapiens}",PF10669.10,0.3976,0.4547,Phage_Gp23 ; Protein gp23 (Bacteriophage A118),4YUU_y2,58.77,"Photosystem Q(B) protein (E.C.1.10.3.9), Photosystem; TRANSMEMBRANE ALPHA-HELIX, ELECTRON TRANSPORT, PHOTOSYNTHESIS; HET: HEM, LMT, LHG, OEX, PHO, PL9, BCR, CLA, LMG, SQD, DGD, GOL, BCT, UNL; 2.77000368116A {Cyanidium caldarium}"
WP_010938426.1,DVU_RS05350,DVU1127,hypothetical,2B9C_A,0.3897,0.3783,"striated-muscle alpha tropomyosin; alpha-helix, coiled coil, alanine, axial; 2.3A {Rattus norvegicus} SCOP: h.1.5.1",PF05149.13,0.3968,0.2630,Flagellar_rod ; Paraflagellar rod protein,4Q4G_X,13.59,"Peptidoglycan endopeptidase RipA (E.C.3.4.-.-); alpha-beta, cell wall hydrolase, HYDROLASE; 0.97A {Mycobacterium tuberculosis}"
WP_010938430.1,DVU_RS05370,DVU1131,hypothetical,5Y6A_B,0.6159,0.5169,"chain A and B; Unknown function, VIRAL PROTEIN; 2.0A {Listeria monocytogenes J0161}",PF06892.12,0.5844,0.4785,Phage_CP76 ; Phage regulatory protein CII (CP76),5J2Y_A,98.14,"Regulatory protein/DNA Complex; Quorum-sensing repressor, gene regulation, RsaL-DNA; HET: MSE; 2.4A {Pseudomonas aeruginosa}"
WP_010938432.1,DVU_RS05380,DVU1133,hypothetical,6R3E_B,0.6033,0.3790,"DNA (cytosine-5)-methyltransferase 3B,DNA (cytosine-5)-methyltransferase 3B; DNMT3B PWWP DOMAIN, HISTONE BINDING; HET: SO4, 96H; 2.269A {Homo sapiens}",PF15057.7,0.5938,0.6876,DUF4537 ; Domain of unknown function (DUF4537),2OBK_F,23.39,"SelT/selW/selH selenoprotein domain; X-Ray NESG PlR6 Q4KGC5, Structural; 2.7A {Pseudomonas fluorescens}"
WP_010938434.1,DVU_RS05395,DVU1135,hypothetical,1YXB_G,0.4911,0.4296,"Phosphoribosyl-ATP pyrophosphatase (E.C.3.6.1.31); Phosphoribosyl-ATP pyrophosphatase, Structural Genomics, PSI; HET: MSE; 2.6A {Streptomyces coelicolor} SCOP: a.204.1.4",PF03278.14,0.5852,0.3766,IpaB_EvcA ; IpaB/EvcA family,5VID_F,81.26,"Botulinum neurotoxin type B (E.C.3.4.24.69); mini-protein binder, inhibitor, TOXIN; 2.75A {Clostridium botulinum}"
WP_010938436.1,DVU_RS05405,DVU1137,hypothetical,1UKL_E,0.6812,0.6892,"Importin beta-1 subunit/Sterol regulatory element; Transcription factor, Nuclear transport factor; HET: MSE; 3.0A {Mus musculus} SCOP: a.38.1.1",PF10944.9,0.6759,0.5551,DUF2630 ; Protein of unknown function (DUF2630),4TX5_A,32.96,"Smac-DIABLO; Smac-DIABLO, APOPTOSIS; HET: MPD, ACT; 1.8A {Homo sapiens}"
WP_010938437.1,DVU_RS05410,DVU1138,hypothetical,2XUB_A,0.7260,0.3242,"DNA-DIRECTED RNA POLYMERASE III SUBUNIT; TRANSCRIPTION, WINGED HELIX; 2.8A {HOMO SAPIENS}",PF05158.13,0.6912,0.4488,RNA_pol_Rpc34 ; RNA polymerase Rpc34 subunit,6TUT_P,98.31,"DNA-directed RNA polymerase III subunit; Transcription, RNA Polymerase III, Pol; 3.25A {Saccharomyces cerevisiae S288C}"
WP_014524319.1,DVU_RS05425,DVU1141,hypothetical,6PPS_B,0.4147,0.2936,"Blue-light-activated histidine kinase (E.C.2.7.13.3); Brucella abortus, LOV domain, sensor; HET: FMN; 2.8A {Brucella abortus (strain 2308)}",PF15743.6,0.3479,0.3581,SPATA1_C ; Spermatogenesis-associated C-terminus,5CFF_C,32.76,"Miranda, Staufen; Coiled-coil and dsRNA-binding domain complex; HET: MSE; 2.5A {Drosophila melanogaster}"
WP_010938442.1,DVU_RS05435,DVU1143,hypothetical,2XSD_C,0.5980,0.5297,"POU DOMAIN, CLASS 3, TRANSCRIPTION; TRANSCRIPTION-DNA COMPLEX, SOX; HET: EDO; 2.049A {MUS MUSCULUS}",PF06892.12,0.6681,0.6005,Phage_CP76 ; Phage regulatory protein CII (CP76),2K9Q_A,91.80,"uncharacterized protein; all helix, helix-turn-helix, Plasmid, Structural; NMR {Bacteroides thetaiotaomicron}"
WP_010938446.1,DVU_RS05455,DVU1148,hypothetical,5V8D_A,0.8081,0.7745,"Bacillus cereus PatB1; acetyltransferase, cell wall, SGNH hydrolase-like; HET: OSE, SO4; 2.001A {Bacillus cereus (strain ATCC 10987 / NRS 248)}",PF14286.7,0.7386,0.6766,DHHW ; DHHW protein,5V8D_C,100.00,"Bacillus cereus PatB1; acetyltransferase, cell wall, SGNH hydrolase-like; HET: OSE, SO4; 2.001A {Bacillus cereus (strain ATCC 10987 / NRS 248)}"
WP_164561555.1,DVU_RS05490,NULL,hypothetical,1RUT_X,0.5192,0.3665,"Fusion protein of Lmo4 protein; b-tandem zipper, LIM domain, fusion; 1.3A {Mus musculus} SCOP: g.39.1.3",PF10083.10,0.4884,0.3971,DUF2321 ; Uncharacterized protein conserved in bacteria (DUF2321),6TH6_Az,94.88,"30S ribosomal protein S2, 30S; T. kodakarensis, ac4C, Ribosome, cryo-EM; HET: MA6, 5MC, 6MZ, A2M, OMC, ZN, LHH, 5MU, LV2, OMU, OMG, 4AC, 4SU; 2.55A {Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1)}"
WP_010938459.1,DVU_RS05505,DVU1162,hypothetical,3EBC_B,0.3437,0.1130,"Type-2 restriction enzyme HincII (E.C.3.1.21.4); intermediate, mutant, dimerization, R-loop, Endonuclease; 2.55A {Haemophilus influenzae}",PF08912.12,0.3049,0.3019,Rho_Binding ; Rho Binding,4WT5_B,10.12,"AtRaf1.2; assembly chaperone, chaperone; 2.568A {Arabidopsis thaliana}"
WP_014524322.1,DVU_RS05525,NULL,hypothetical,1S05_A,0.4380,0.3669,Cytochrome c-556; THIS IS A MODEL OBTAINED; HET: HEM; NMR {Rhodopseudomonas palustris} SCOP: a.24.3.2,PF07200.14,0.4139,0.3255,Mod_r ; Modifier of rudimentary (Mod(r)) protein,2MPN_B,19.21,Inner membrane protein YgaP; membrane protein; NMR {Escherichia coli}
WP_014524323.1,DVU_RS05530,DVU1168,hypothetical,6QVH_A,0.4802,0.4504,"cytosolic copper storage protein; Copper, Streptomyces lividans, storage, homeostasis; HET: CU1; 1.28A {Streptomyces lividans 1326}",PF02561.15,0.4308,0.4289,FliS ; Flagellar protein FliS,3HD7_B,15.21,"Vesicle-associated membrane protein 2, Syntaxin-1A; MEMBRANE PROTEIN, COILED-COIL, 4-HELICAL BUNDLE; HET: SO4, GGG; 3.4A {Rattus norvegicus}"
WP_014524324.1,DVU_RS05540,DVU1170,hypothetical,5VNM_C,0.4299,0.2987,"Protein transport protein Sec23A, Protein; COPII, Trafficking, p24, ER retention; HET: CLT; 2.765A {Homo sapiens}",PF02580.17,0.3994,0.3020,Tyr_Deacylase ; D-Tyr-tRNA(Tyr) deacylase,4WWB_A,79.47,"CnrXs; Nickel sensor, metal binding protein; 1.11A {Ralstonia metallidurans}"
WP_010938471.1,DVU_RS05550,DVU1174,hypothetical,2Y3W_C,0.5595,0.4285,"SPINDLE ASSEMBLY ABNORMAL PROTEIN 6; STRUCTURAL PROTEIN, CYTOSKELETON, BASAL BODY; 1.98A {DANIO RERIO}",PF11950.9,0.5912,0.8107,DUF3467 ; Protein of unknown function (DUF3467),2Z0L_F,81.00,"Early antigen protein D; alpha/beta protein, Activator, DNA-binding, Early; HET: MSE; 2.9A {Human herpesvirus 4}"
WP_010938472.1,DVU_RS05555,DVU1175,hypothetical,4JLE_B,0.3883,0.3562,"PHIST; 3-helix bundle, Protein interaction module; 2.35A {Plasmodium falciparum}",PF09687.11,0.3530,0.3812,PRESAN ; Plasmodium RESA N-terminal,6PMG_X,16.47,"Zinc finger protein mex-5; zinc finger protein, MEX-5, C.; HET: ZN; NMR {Caenorhabditis elegans}"
WP_010938473.1,DVU_RS05560,DVU1176,hypothetical,1J6R_B,0.5542,0.4958,"ACTIVATION (ADOMET BINDING) DOMAIN OF; STRUCTURAL GENOMICS, TM0269, ACTIVATION (ADOMET; 2.3A {Thermotoga maritima} SCOP: d.173.1.2",PF02965.18,0.5327,0.4003,"Met_synt_B12 ; Vitamin B12 dependent methionine synthase, activation domain",6S3D_N,73.56,"Heavy Chain, Light Chain, S0_2.126; hRSV, D25, Fab fragment, ANTIVIRAL; 3.0A {Homo sapiens}"
WP_014524325.1,DVU_RS05565,DVU1177,hypothetical,4BKG_A,0.5620,0.6595,SMALL UBIQUITIN-RELATED MODIFIER 2; PROTEIN BINDING; 2.11A {HOMO SAPIENS},PF14533.7,0.4546,0.4530,USP7_C2 ; Ubiquitin-specific protease C-terminal,3CWI_A,97.68,"Thiamine-biosynthesis protein ThiS; alpha-beta protein, Structural Genomics, PSI-2; 1.9A {Geobacter metallireducens GS-15}"
WP_150103628.1,DVU_RS05605,DVU1187,hypothetical,6K8N_C,0.4683,0.2702,"topoisomerase III; DNA BINDING Protein, Topoisomerase III; 2.1A {Saccharolobus solfataricus}",PF15962.6,0.4493,0.1796,DUF4765 ; Domain of unknown function (DUF4765),5KPE_A,11.80,"De novo Beta Sheet Design; Structural Genomics, PSI-Biology, Northeast Structural; NMR {synthetic construct}"
WP_010938484.1,DVU_RS05610,DVU1188,hypothetical,3O70_A,0.3819,0.3941,"PHD finger protein 13; PHF13, Structural Genomics Consortium, SGC; HET: GOL; 1.85A {Homo sapiens}",PF04248.13,0.4370,0.3961,NTP_transf_9 ; Domain of unknown function (DUF427),6MM4_A,50.11,"Engineered Cystine Knot Protein 2.5F; Cystine Knot, Knottin, Protein Engineering; NMR {synthetic construct}"
WP_010938515.1,DVU_RS05760,DVU1219,hypothetical,3UCQ_A,0.7408,0.8195,"Amylosucrase (E.C.2.4.1.4); thermostability, amylose synthesis, sucrose isomerization; HET: GOL; 1.97A {Deinococcus geothermalis}",PF14872.7,0.5477,0.5103,GHL5 ; Hypothetical glycoside hydrolase 5,1J0K_A,100.00,"neopullulanase (E.C.3.2.1.135); beta-alpha-barrels, HYDROLASE; HET: GLC; 3.2A {Geobacillus stearothermophilus} SCOP: b.71.1.1, c.1.8.1, b.1.18.2"
WP_010938517.1,DVU_RS05770,DVU1221,hypothetical,4F14_A,0.4260,0.4847,"Nebulette, Xin actin-binding repeat-containing protein; SH3 domain, heart muscle, ACTIN-BINDING; 1.2A {Homo sapiens}",PF15409.7,0.4482,0.4266,PH_8 ; Pleckstrin homology domain,5HPG_A,18.20,"PLASMINOGEN; SERINE PROTEASE, KRINGLE 5, HUMAN; 1.66A {Homo sapiens} SCOP: g.14.1.1"
WP_010938518.1,DVU_RS05775,DVU1222,hypothetical,5JZV_A,0.7532,0.6555,"Adenylate kinase isoenzyme 6 (E.C.2.7.4.3); ATPASE, ADENYLATE KINASE, TRANSFERASE; HET: ADP; 2.07A {Homo sapiens}",PF03976.15,0.6903,0.5580,PPK2 ; Polyphosphate kinase 2 (PPK2),2PT5_D,99.62,"Shikimate kinase (E.C.2.7.1.71); Aromatic amino acid biosynthesis, Kinase; HET: MSE; 2.1A {Aquifex aeolicus}"
WP_010938521.1,DVU_RS05790,DVU1225,hypothetical,4JMI_A,0.5052,0.4192,"Cytohesin-2; Nucleotide Exchange Factors, Arf1, SIGNALING; 1.5A {Homo sapiens}",PF04368.14,0.5573,0.4848,DUF507 ; Protein of unknown function (DUF507),6HEL_B,14.17,"Ubiquitin carboxyl-terminal hydrolase 25 (E.C.3.4.19.12); Ubiquitin, USP, Ubiquitin-specific protease, DUB; 2.941A {Homo sapiens}"
WP_010938531.1,DVU_RS05820,DVU1235,hypothetical,3N0U_A,0.5667,0.5416,"Probable N-glycosylase/DNA lyase (E.C.3.2.2.-, 4.2.99.18); structural genomics, ISFI, DNA REPAIR; 1.5A {Thermotoga maritima}",PF18723.2,0.4941,0.4005,aGPT-Pplase1 ; alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 1,3KNT_C,71.78,"N-glycosylase/DNA lyase (E.C.3.2.2.-, 4.2.99.18)/DNA complex; protein-DNA complex, OGG, HELIX-HAIRPIN-HELIX, GLYCOSYLASE; HET: 8OG; 2.7A {Methanocaldococcus jannaschii}"
WP_010938547.1,DVU_RS05900,DVU1251,hypothetical,1NLW_A,0.5522,0.5186,"MAD PROTEIN/MAX PROTEIN/DNA; transcription factor, DNA, bHLHZ, TRANSCRIPTION-DNA; 2.0A {Homo sapiens} SCOP: a.38.1.1",PF11577.9,0.4685,0.4780,NEMO ; NF-kappa-B essential modulator NEMO,6VK0_D,30.31,"U1 SNP1-associating protein 1, Degradation; retro-translocation, ERAD, protein degradation, ubiquitination;{Saccharomyces cerevisiae}"
WP_011792466.1,DVU_RS06005,DVU1274,hypothetical,4AV2_U,0.6268,0.5804,"TYPE IV PILUS BIOGENESIS AND; PROTEIN TRANSPORT, OUTER MEMBRANE PROTEIN; 26.0A {NEISSERIA MENINGITIDIS MC58}",PF11356.9,0.6212,0.7026,T2SSC ; Type II secretion system protein C,4WFW_A,98.83,"GspB; Type 2 Secretion System, GspB; 2.05A {Dickeya dadantii (strain 3937)}"
WP_011792465.1,DVU_RS06010,DVU1275,hypothetical,3JC8_Oi,0.9165,0.8237,"PilA, Type IV-A pilus assembly; motor, pilus, ring, membrane channel; HET: MEA;{Myxococcus xanthus DK 1622}",PF04612.13,0.7241,0.8528,"T2SSM ; Type II secretion system (T2SS), protein M",3JC8_Oa,99.82,"PilA, Type IV-A pilus assembly; motor, pilus, ring, membrane channel; HET: MEA;{Myxococcus xanthus DK 1622}"
WP_014524340.1,DVU_RS06015,DVU1276,hypothetical,3WQT_D,0.5976,0.7479,"Cell division protein FtsA; actin-like fold, STRUCTURAL GENOMICS; HET: ANP; 2.2A {Staphylococcus aureus subsp. aureus}",PF07520.12,0.5471,0.3621,SrfB ; Virulence factor SrfB,3JC9_Ma,99.94,"PilA, PilC, PilN, PilO, PilM; motor, pilus, ring, membrane channel; HET: MG, ATP, MEA;{Myxococcus xanthus DK 1622}"
WP_014524341.1,DVU_RS06095,NULL,hypothetical,4NV2_A,0.6918,0.7425,"VKORC1/thioredoxin domain protein; four helix bundle, oxidoreductase, Thioredoxin-like; HET: U10; 3.61A {Synechococcus sp.}",PF00837.18,0.3768,0.4294,T4_deiodinase ; Iodothyronine deiodinase,4NV5_A,99.79,"VKORC1/thioredoxin domain protein; four helix bundle, oxidoreductase, thioredoxin-like; HET: U10; 2.79A {Synechococcus sp.}"
WP_010938596.1,DVU_RS06125,DVU1301,hypothetical,5LUV_B,0.6219,0.2768,"Putative PAS/PAC sensor protein; LOV domain, PAS domain, apo-state; HET: SO4; 2.5A {Pseudomonas putida}",PF18947.1,0.5326,0.4956,HAMP_2 ; HAMP domain,6G1O_A,53.42,"Isocitrate lyase (E.C.4.1.3.1); Isocitrate lyase, Pseudomonas, TCA cycle; 1.882A {Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)}"
WP_010938633.1,DVU_RS06310,DVU1338,hypothetical,2MII_A,0.6294,0.6210,"Penicillin-binding protein activator LpoB; LpoB, PBP1B activator, peptidoglycan synthesis; NMR {Escherichia coli}",PF17680.2,0.6075,0.8468,FlgO ; FlgO protein,2MII_A,98.97,"Penicillin-binding protein activator LpoB; LpoB, PBP1B activator, peptidoglycan synthesis; NMR {Escherichia coli}"
WP_011792449.1,DVU_RS06315,NULL,hypothetical,2YRU_A,0.6411,0.5480,"Steroid receptor RNA activator 1; SRAP, Structural Genomics, NPPSFA, National; NMR {Mus musculus}",PF07304.12,0.6030,0.4366,SRA1 ; Steroid receptor RNA activator (SRA1),2R5S_A,96.56,"Uncharacterized protein VP0806; APC090868.1, protein VP0806, Vibrio parahaemolyticus; HET: EDO, MES, MSE; 2.14A {Vibrio parahaemolyticus}"
WP_164928125.1,DVU_RS06395,DVU1354,hypothetical,2C0S_A,0.5931,0.5633,"CONSERVED DOMAIN PROTEIN; TRANSFERASE, PHOSPHATASE, PHOSPHORYLATION, SPORULATION, BACILLUS; NMR {BACILLUS ANTHRACIS} SCOP: a.30.7.1",PF09607.11,0.6261,0.6750,BrkDBD ; Brinker DNA-binding domain,3EC8_A,22.32,"Putative uncharacterized protein FLJ10324; beta barrel, helix, Structural Genomics; 2.6A {Homo sapiens}"
WP_010938650.1,DVU_RS06400,DVU1355,hypothetical,3FB2_B,0.5042,0.3396,"Spectrin alpha chain, brain spectrin; Spectrin alpha chain, brain spectrin; 2.3A {Homo sapiens}",PF08657.11,0.4694,0.2593,DASH_Spc34 ; DASH complex subunit Spc34,5EU0_B,89.73,"Bartonella effector protein (Bep) substrate; AMPylation, adenylylation, Fic proteins, toxin-antitoxin; HET: SO4; 1.6A {Bartonella rochalimae ATCC BAA-1498}"
WP_010938657.1,DVU_RS06435,DVU1362,hypothetical,5L26_C,0.6729,0.5354,"Nucleoside permease; transporter, nucleoside, elevator-type alternate access; HET: URI, 6ZL; 3.4A {Neisseria wadsworthii 9715}",PF02447.17,0.6565,0.5119,GntP_permease ; GntP family permease,5L26_C,94.55,"Nucleoside permease; transporter, nucleoside, elevator-type alternate access; HET: URI, 6ZL; 3.4A {Neisseria wadsworthii 9715}"
WP_011792423.1,DVU_RS06470,DVU1369,hypothetical,2V0P_B,0.3990,0.2996,"TYPE 2A PHOSPHATASE-ASSOCIATED PROTEIN 42; PHOSPHORYLATION, SIGNAL TRANSDUCTION INHIBITOR, HYDROLASE; HET: MSE; 1.8A {SACCHAROMYCES CEREVISIAE}",PF03194.16,0.4063,0.3040,LUC7 ; LUC7 N_terminus,4UZX_A,13.63,"PROTEIN THO1; RNA BINDING PROTEIN, THO1; NMR {SACCHAROMYCES CEREVISIAE}"
WP_010938665.1,DVU_RS06475,DVU1370,hypothetical,6XBW_G,0.4267,0.3557,"V-type proton ATPase catalytic subunit; PROTON TRANSPORT; HET: ADP, POV, OLA, NAG; 3.37A {Bos taurus}",PF19165.1,0.3847,0.3083,DUF5847 ; Family of unknown function (DUF5847),2HY6_E,16.36,"General control protein GCN4; protein design, parallel heptamer, protein; HET: HEZ; 1.25A {Saccharomyces cerevisiae} SCOP: h.1.3.1"
WP_010938670.1,DVU_RS06500,DVU1375,hypothetical,1ZHC_A,0.8209,0.8209,"hypothetical protein HP1242; a-helical protein, UNKNOWN FUNCTION; NMR {Helicobacter pylori}",PF07303.14,0.6924,0.5627,Occludin_ELL ; Occludin homology domain,1ZHC_A,99.66,"hypothetical protein HP1242; a-helical protein, UNKNOWN FUNCTION; NMR {Helicobacter pylori}"
WP_010938676.1,DVU_RS06520,DVU1381,hypothetical,4EAJ_A,0.5515,0.4270,"5'-AMP-activated protein kinase catalytic subunit; AMPK, TRANSFERASE; HET: AMP, ATP; 2.609A {Rattus norvegicus}",PF08869.12,0.4836,0.3770,XisI ; XisI protein,3D55_C,63.52,"Uncharacterized protein Rv3357/MT3465; Tetramer, Toxin neutraliser, TOXIN INHIBITOR; HET: SO4; 2.13A {Mycobacterium tuberculosis}"
WP_011792418.1,DVU_RS06530,NULL,hypothetical,1S98_A,0.8364,0.7876,"Protein yfhF; IscA, Fe-S cluster, iron, sulfur; 2.3A {Escherichia coli} SCOP: b.124.1.1",PF01521.21,0.7571,0.6828,Fe-S_biosyn ; Iron-sulphur cluster biosynthesis,1X0G_C,99.81,"IscA; [2Fe-2S], biosynthesis, cyanobacteria, domain swapping; 2.5A {Thermosynechococcus elongatus}"
WP_010938685.1,DVU_RS06560,DVU1390,hypothetical,6DK7_F,0.3555,0.2888,"RetS (Regulator of Exopolysaccharide and; Histidine kinase, Inhibitor, Signaling protein; HET: CO; 2.6A {Pseudomonas aeruginosa}",PF18641.2,0.3342,0.3060,LidA_Long_CC ; LidA long coiled-coil domain,2OFI_A,34.21,"3-METHYLADENINE DNA GLYCOSYLASE I/DNA; 3-Methyladenine, DNA repair, Glycosylase, Base; HET: ADK; 1.85A {Salmonella typhi}"
WP_014524348.1,DVU_RS06565,NULL,hypothetical,5FLV_M,0.3931,0.2649,"HOMEOBOX PROTEIN NKX-2.5, T-BOX TRANSCRIPTION; TRANSCRIPTION; HET: PG4; 3.005A {MUS MUSCULUS}",PF06152.12,0.5013,0.2739,Phage_min_cap2 ; Phage minor capsid protein 2,6LFA_B,54.85,"Cell wall synthesis protein Wag31; DivIVA, Wag31, Mycobacterial polar growth; HET: PGE; 2.3A {Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)}"
