Query       	qlen	Templa	alnlen	Prob	E-value	SID	Neff	Description
WP_010939781.1	95	6H9N_B	91	99.51	1.1e-18	14%	10.6814	| Cell division protein FtsQ, Cell; bacterial cell division, divisome, CELL; 2.6A {Escherichia coli K-12}
WP_014524530.1	197	5BUY_A	145	99.49	1.7e-18	19%	7.2074	| 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (E.C.4.2.1.59); FabZ, antimicrobial target, fatty acid; HET: SO4; 2.55A {Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)}
WP_011791841.1	184	2NX2_A	133	99.46	3.7e-18	12%	8.19232	| Crystal structure of hypothetical protein; structural genomics, UNKNOWN FUNCTION, PSI; 2.0A {Bacillus subtilis} SCOP: c.129.1.2
WP_010938119.1	582	3GJY_A	308	99.46	4.2e-18	19%	9.33722	| Spermidine synthase; APC62791, spermidine synthase, Corynebacterium glutamicum; 1.47A {Corynebacterium glutamicum ATCC 13032}
WP_010940558.1	180	5AHW_E	122	99.45	4.4e-18	16%	8.44522	| UNIVERSAL STRESS PROTEIN; SIGNALING PROTEIN, RV1636 HOMOLOG, USP; HET: CMP, SO4, POG; 2.15A {MYCOBACTERIUM SMEGMATIS STR. MC2 155}
WP_010938409.1	148	6GKX_A	130	99.45	4.9e-18	12%	7.61711	| Putative phage XkdM-like protein; Diffocin Tube, Structural protein; 1.5A {Peptoclostridium difficile (strain 630)}
WP_010938986.1	192	6OV6_A	180	99.44	7.7e-18	13%	7.32707	| C24 PROTEIN; FIBER, VIRAL ORIGIN, UNKNOWN FUNCTION; 1.82A {Bizionia argentinensis JUB59}
WP_010937959.1	69	2JNY_A	65	99.41	1.7e-17	34%	9.65408	| Uncharacterized BCR; cgr1, NESG, Structural Genomics, PSI-2; NMR {Corynebacterium glutamicum} SCOP: b.171.1.1
WP_010940351.1	215	3P8A_A	210	99.41	1.7e-17	13%	9.27581	| uncharacterized protein, hypothetical protein; mainly antiparallel beta sheets, alpha; HET: BTB, GOL, PG4, MSE; 1.95A {Staphylococcus aureus}
WP_010937683.1	88	3KTB_A	82	99.39	2.5e-17	18%	5.86201	| Arsenical resistance operon trans-acting repressor; alpha-beta-alpha sandwich, helix-turn-helix, Structural Genomics; HET: GOL; 2.1A {Bacteroides vulgatus}
WP_010939865.1	191	4E2A_B	168	99.40	2.5e-17	7%	11.7296	| Putative acetyltransferase; Alpha Beta, Alpha and Beta; 2.0A {Streptococcus mutans}
WP_010939028.1	133	1NO1_C	120	99.36	5.2e-17	15%	7.1741	| replisome organizer; helical  bipartite  natively; HET: MSE; 2.4A {Bacillus phage SPP1} SCOP: a.179.1.1
WP_010939495.1	89	1RR7_A	76	99.35	7.9e-17	28%	10.7789	| Middle operon regulator; Mor, TRANSCRIPTION; 2.2A {Enterobacteria phage Mu} SCOP: a.4.1.14
WP_011176646.1	660	5F15_A	525	99.35	7.9e-17	11%	10.9898	| 4-amino-4-deoxy-L-arabinose (L-Ara4N) transferase; membrane protein, lipid glycosyltransferase, GT-C; HET: EPE, MPG, 5TR; 3.2A {Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34)}
WP_010939849.1	209	5AIO_A	195	99.33	1.5e-16	15%	11.7954	| TRANSCRIPTION FACTOR TAU 131 KDA; TRANSCRIPTION, TFIIIC, TPRS; 3.148A {SACCHAROMYCES CEREVISIAE}
WP_010937707.1	183	3H1T_A	180	99.29	2.5e-16	8%	8.90754	| Type I site-specific restriction-modification system; hydrolase, restriction enzyme hsdR, ATP-binding; 2.3A {Vibrio vulnificus}
WP_011176606.1	136	4I86_B	110	99.30	2.7e-16	8%	11.3118	| Cellulose synthase 1 (E.C.2.4.1.12); beta-barrel fold, c-di-GMP Binding, Transferase; 2.098A {Gluconacetobacter xylinus}
WP_010939323.1	533	6QT8_A	275	99.29	2.9e-16	17%	10.6847	| Midasin; ribosome biogenesis, integrin, midas, RIBOSOME; HET: GOL, SO4; 2.33A {Chaetomium thermophilum var. thermophilum DSM 1495}
WP_014524431.1	135	1NO1_C	104	99.27	4.5e-16	19%	8.5488	| replisome organizer; helical  bipartite  natively; HET: MSE; 2.4A {Bacillus phage SPP1} SCOP: a.179.1.1
WP_010939436.1	314	5NGJ_B	307	99.27	5e-16	13%	10.3923	| Tail tube protein; bacteriophage, viral protein, tube protein; 2.2A {Escherichia phage T5}
WP_049775581.1	238	5L0Y_H	149	99.26	5.2e-16	12%	8.57453	| protein translocation Sec72,Sec72, PRO-THR-VAL-GLU-GLU-VAL-ASP; Protein translocation, TPR, C-terminal Ssa1; 2.87A {Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719)}
WP_010938786.1	387	5NGJ_A	310	99.23	1.1e-15	15%	9.32521	| Tail tube protein; bacteriophage, viral protein, tube protein; 2.2A {Escherichia phage T5}
WP_010939290.1	51	2HU9_A	47	99.22	1.3e-15	28%	8.07775	| Mercuric transport protein periplasmic component; copper chaperone, iron-sufur protein, CopZ; 1.78A {Archaeoglobus fulgidus}
WP_010938122.1	199	2MII_A	150	99.19	2.4e-15	15%	11.287	| Penicillin-binding protein activator LpoB; LpoB, PBP1B activator, peptidoglycan synthesis; NMR {Escherichia coli}
WP_010939025.1	72	1Y6U_A	68	99.19	2.5e-15	15%	9.70084	| Excisionase from transposon Tn916; DNA architectural protein, Tyrosine recombinase; NMR {Enterococcus faecalis}
WP_010937644.1	656	4HWG_A	362	99.18	2.7e-15	11%	10.7999	| UDP-N-acetylglucosamine 2-epimerase (E.C.5.1.3.14); SSGCID, UDP-N-acetylglucosamine 2-epimerase, epimerase, UDP; 2.0A {Rickettsia bellii}
WP_010940302.1	343	3TZT_A	258	99.17	3.1e-15	13%	9.31841	| Glycosyl transferase family 8; Structural Genomics, PSI-Biology, Midwest Center; HET: CIT, EDO; 2.1A {Anaerococcus prevotii}
WP_014524436.1	210	6OV6_A	202	99.12	7.4e-15	14%	6.7042	| C24 PROTEIN; FIBER, VIRAL ORIGIN, UNKNOWN FUNCTION; 1.82A {Bizionia argentinensis JUB59}
WP_010939510.1	69	2D1P_D	69	99.11	1e-14	16%	9.11374	| Hypothetical UPF0163 protein yheN, Hypothetical; tRNA modification, sulfur transfer, Structural; 2.15A {Escherichia coli} SCOP: c.114.1.1
WP_010938771.1	298	5DM0_A	243	99.08	1.6e-14	8%	9.81601	| plantazolicin methyltransferase BamL; N-methyltransferase, plantazolicin, desmethylPZN analog, transferase-transferase; HET: SO4, SAH, 5D8; 1.75A {Bacillus amyloliquefaciens subsp. plantarum (strain DSM 23117 / BGSC 10A6 / FZB42)}
WP_014524657.1	187	4RT1_B	108	99.06	2.6e-14	13%	11.0213	| Alginate biosynthesis protein Alg44; PilZ domain, c-di-GMP receptor, PROTEIN; HET: C2E; 1.7A {Pseudomonas aeruginosa}
WP_010939023.1	47	3U97_A	42	99.03	3.5e-14	29%	7.70637	| Ribonuclease toxin BrnT (E.C.3.1.27.1); RNAse Sa/RelE small ribonuclease fold; 1.102A {Brucella abortus}
WP_010938805.1	164	1M0D_C	92	99.01	4.9e-14	27%	7.15062	| endodeoxyribonuclease I (E.C.3.1.21.2); Holliday junction resolvase, Homodimer, Domain; HET: SO4; 1.9A {Enterobacteria phage T7} SCOP: c.52.1.17
WP_014524219.1	563	6MGC_A	290	99.01	5.5e-14	12%	9.92115	| Capsule polysaccharide export protein KpsC; glycosyltransferase, cytosine monophosphate, TRANSFERASE; HET: C5P; 1.35A {Escherichia coli O1:K1 / APEC}
WP_010940669.1	528	5HEA_B	226	98.98	5.9e-14	11%	7.62098	| Putative glycosyltransferase (GalT1); Glycosyltransferase, helix binding domain, TRANSFERASE; 2.003A {Streptococcus parasanguinis FW213}
WP_010937610.1	105	2PZI_B	100	99.01	6.1e-14	6%	12.5389	| Probable serine/threonine-protein kinase pknG (E.C.2.7.11.1); Serine/Threonine-Protein Kinase, ATP-recognition, Kinase-inhibitor complex; HET: AXX, GOL; 2.4A {Mycobacterium tuberculosis}
WP_010940095.1	80	1Z4H_A	66	99.00	6.2e-14	17%	10.2021	| Tor inhibition protein; winged helix, reverse turn, PROTEIN; NMR {Escherichia coli}
WP_010938802.1	187	4CGV_D	135	98.99	7.5e-14	9%	11.1467	| RNA POLYMERASE II-ASSOCIATED PROTEIN 3; CHAPERONE, R2TP, TAH1, PIH1; 2.54A {HOMO SAPIENS}
WP_010938633.1	194	2MII_A	161	98.97	9.5e-14	16%	10.3094	| Penicillin-binding protein activator LpoB; LpoB, PBP1B activator, peptidoglycan synthesis; NMR {Escherichia coli}
WP_010939044.1	87	1Z4H_A	65	98.95	1.5e-13	14%	11.219	| Tor inhibition protein; winged helix, reverse turn, PROTEIN; NMR {Escherichia coli}
WP_014524452.1	100	1Z4H_A	66	98.88	3.6e-13	11%	9.84757	| Tor inhibition protein; winged helix, reverse turn, PROTEIN; NMR {Escherichia coli}
WP_164928132.1	152	3JU0_A	94	98.87	4.6e-13	16%	11.4593	| Phage integrase; four stranded beta-sheet, DNA BINDING; 1.6A {Pectobacterium atrosepticum}
WP_010937376.1	265	3PGU_A	250	98.84	5.9e-13	10%	9.97041	| Long-chain fatty acid transport protein; outer membrane beta barrel, lipid; HET: OLA, 2PE, C8E; 1.7A {Escherichia coli K-12}
WP_010940103.1	357	3H1T_A	336	98.83	6.2e-13	14%	8.17222	| Type I site-specific restriction-modification system; hydrolase, restriction enzyme hsdR, ATP-binding; 2.3A {Vibrio vulnificus}
WP_011792466.1	164	4WFW_A	80	98.83	6.5e-13	14%	9.55406	| GspB; Type 2 Secretion System, GspB; 2.05A {Dickeya dadantii (strain 3937)}
WP_010938206.1	979	6DUB_A	207	98.79	6.8e-13	12%	5.38672	| Alpha N-terminal protein methyltransferase 1B; methyltransferase, Structural Genomics, Structural Genomics; HET: UNX, GOL, SAH, 5JP; 1.2A {Homo sapiens}
WP_010939980.1	109	2OUT_A	107	98.81	7.2e-13	17%	3.30703	| Mu-like prophage FluMu protein gp35; structural genomics, Haemophilus influenzae, hypothetical; NMR {Haemophilus influenzae} SCOP: d.344.1.1, a.140.3.2
WP_014524596.1	456	6DUB_A	213	98.81	8e-13	10%	8.8377	| Alpha N-terminal protein methyltransferase 1B; methyltransferase, Structural Genomics, Structural Genomics; HET: UNX, GOL, SAH, 5JP; 1.2A {Homo sapiens}
WP_010939042.1	135	2KPJ_A	90	98.82	8.3e-13	14%	10.7066	| SOS-response transcriptional repressor, LexA; NESG, GFT, Structural Genomics, PSI-2; NMR {Eubacterium rectale ATCC 33656}
WP_011791730.1	98	1Y6U_A	67	98.77	1.4e-12	6%	9.79063	| Excisionase from transposon Tn916; DNA architectural protein, Tyrosine recombinase; NMR {Enterococcus faecalis}
WP_010937690.1	129	5N1T_B	88	98.76	1.9e-12	16%	11.2291	| Cytochrome C, Uncharacterized protein; COPPER CHAPERONE, SULFIDE REDUCTASE, PERIPLASM; HET: HEC, FAD; 2.6A {Thioalkalivibrio paradoxus ARh 1}
WP_010939499.1	216	6H55_A	204	98.75	1.9e-12	13%	10.3811	| Dihydrolipoyllysine-residue acetyltransferase component of pyruvate; Pyruvate dehydrogenase, human, OXIDOREDUCTASE; 6.0A {Homo sapiens}
WP_010937375.1	302	3PGU_A	285	98.72	2.7e-12	14%	10.6878	| Long-chain fatty acid transport protein; outer membrane beta barrel, lipid; HET: OLA, 2PE, C8E; 1.7A {Escherichia coli K-12}
WP_010938308.1	204	2R1I_A	148	98.64	4.5e-12	16%	6.08564	| GCN5-related N-acetyltransferase; YP_831484.1, Putative acetyltransferase, Arthrobacter sp.; HET: EDO, MSE, GOL; 1.65A {Arthrobacter sp.}
WP_010939718.1	191	2BTW_B	168	98.67	4.8e-12	10%	8.85719	| ALR0975 PROTEIN (E.C.2.3.2.15); PHYTOCHELATIN SYNTHASE, PCS, ALR0975, NOSTOC; HET: MSE; 2.0A {ANABAENA SP.} SCOP: d.3.1.14
WP_010940589.1	152	5ZNE_A	125	98.63	8.3e-12	10%	10.6446	| NBS-LRR type protein; RGA5A_S, Resistance Protein, Rice, PLANT; 1.78A {Oryza sativa subsp. japonica}
WP_014524399.1	1266	3PFI_A	296	98.60	1.1e-11	13%	9.6444	| Holliday junction ATP-dependent DNA helicase; Probable Holliday Junction DNA Helicase; HET: ADP; 2.695A {Campylobacter jejuni subsp. jejuni}
WP_010938032.1	453	1T0B_E	227	98.53	2e-11	14%	7.98727	| ThuA-like protein; trehalose metabolism, NCS symmetry, Structural; 1.7A {Geobacillus stearothermophilus} SCOP: c.23.16.6
WP_010938372.1	308	2MII_A	158	98.49	2.9e-11	9%	6.82633	| Penicillin-binding protein activator LpoB; LpoB, PBP1B activator, peptidoglycan synthesis; NMR {Escherichia coli}
WP_164561964.1	230	5F47_A	150	98.48	2.9e-11	12%	7.11506	| aminoglycoside acetyltransferase meta-AAC0020; GNAT fold, GCN5-N-acetyltransferase fold, acetyltransferase; HET: TRE; 1.497A {uncultured bacterium}
WP_011791831.1	176	2OWL_A	141	98.45	4.2e-11	12%	6.24853	| Recombination-associated protein rdgC; recombination, replication, RecA; 2.4A {Escherichia coli}
WP_010938946.1	99	2FQH_A	71	98.46	5.1e-11	15%	10.2484	| Hypothetical protein TA0938 from Termoplasma; structural genomics, zn-binding,, Ontario Centre; NMR {Thermoplasma acidophilum}
WP_010938858.1	70	2JNY_A	63	98.44	6.3e-11	13%	10.1828	| Uncharacterized BCR; cgr1, NESG, Structural Genomics, PSI-2; NMR {Corynebacterium glutamicum} SCOP: b.171.1.1
WP_010938817.1	330	2JNE_A	92	98.42	7.1e-11	18%	8.61571	| Hypothetical protein yfgJ; C4, C3H, C7H, zinc fingers; HET: ZN; NMR {Escherichia coli} SCOP: g.41.18.1
WP_010939966.1	112	5KS5_A	87	98.39	1e-10	10%	10.2306	| Eukaryotic elongation factor 2 kinase; TRANSFERASE, eEF2K, SEL1, elongation, TPR; NMR {Homo sapiens}
WP_010939180.1	72	1VD4_A	62	98.36	1.4e-10	15%	10.7791	| Transcription initiation factor IIE, alpha; ZINC FINGER, Transcription; HET: ZN; NMR {Homo sapiens} SCOP: g.41.3.1
WP_010937906.1	88	4V4N_Ag	40	98.34	1.7e-10	15%	11.6836	| Preprotein translocase subunit SecE, Preprotein; archaea, archaeal, ribosomal, 50S, protein; 9.0A {Methanococcus jannaschii}
WP_010938782.1	116	6TEB_C	112	98.33	1.7e-10	12%	9.68016	| Tail tube protein Rcc01691, Distal; "distal tail protein", "tail tube"; 4.14A {Rhodobacter capsulatus DE442}
WP_010938437.1	210	6TUT_P	200	98.31	1.9e-10	12%	9.36862	| DNA-directed RNA polymerase III subunit; Transcription, RNA Polymerase III, Pol; 3.25A {Saccharomyces cerevisiae S288C}
WP_010940650.1	80	6SBW_A	50	98.28	2.7e-10	14%	9.3763	| CdbA; nucleoid ribbon-helix-helix, DNA BINDING PROTEIN; 2.24A {Myxococcus xanthus DK 1622}
WP_011792814.1	102	1YJT_A	75	98.24	4e-10	17%	10.919	| Copper-transporting ATPase 1(E.C.3.6.3.4); metallochaperone, protein-protein interaction, copper(I), metal; HET: CU1; NMR {Homo sapiens}
WP_164928114.1	524	6V8I_AF	518	98.19	6.8e-10	9%	11.5221	| Distal Tail Protein, gp58, Tail-Associated; phage tail, tail tip, tape; 3.7A {Staphylococcus virus 80alpha}
WP_011791839.1	169	5DMA_A	45	98.13	8.3e-10	22%	6.85833	| ATP-dependent DNA helicase PcrA (E.C.3.6.4.12); RNA polymerase, PcrA/UvrD helicase, Tudor; 1.53A {Geobacillus stearothermophilus}
WP_010938430.1	121	5J2Y_A	73	98.14	8.7e-10	10%	8.81187	| Regulatory protein/DNA Complex; Quorum-sensing repressor, gene regulation, RsaL-DNA; HET: MSE; 2.4A {Pseudomonas aeruginosa}
WP_011792616.1	157	6NFR_A	105	98.09	1.6e-09	18%	11.4042	| CopC; CopC, metallochaperone, copper binding, METAL; HET: SO4; 1.0A {Pseudomonas fluorescens}
WP_014524645.1	138	4V4N_Ag	45	98.05	2e-09	18%	11.0785	| Preprotein translocase subunit SecE, Preprotein; archaea, archaeal, ribosomal, 50S, protein; 9.0A {Methanococcus jannaschii}
WP_010940133.1	91	2L6R_A	57	98.02	2.1e-09	21%	6.66533	| Head-to-tail joining protein W (GpW); gpW, atom by atom analysis; NMR {Enterobacteria phage lambda}
WP_014524579.1	524	6V8I_AF	519	98.01	2.9e-09	9%	11.5586	| Distal Tail Protein, gp58, Tail-Associated; phage tail, tail tip, tape; 3.7A {Staphylococcus virus 80alpha}
WP_014524317.1	198	2RN7_A	89	97.82	9.1e-09	18%	7.52475	| IS629 orfA; helix, all alpha, UNKNOWN FUNCTION; NMR {Shigella flexneri}
WP_010939433.1	121	6TEB_C	114	97.74	1.8e-08	19%	9.43542	| Tail tube protein Rcc01691, Distal; "distal tail protein", "tail tube"; 4.14A {Rhodobacter capsulatus DE442}
WP_010938238.1	249	6YSF_F	158	97.70	2e-08	11%	6.23141	| Chemotaxis motB protein, Chemotaxis MotA; Stator Flagellar rotation ion driven;{Clostridium sporogenes}
WP_014524325.1	205	3CWI_A	74	97.68	2.1e-08	23%	4.8455	| Thiamine-biosynthesis protein ThiS; alpha-beta protein, Structural Genomics, PSI-2; 1.9A {Geobacter metallireducens GS-15}
WP_010939449.1	73	2L6R_A	57	97.67	2.6e-08	14%	6.92845	| Head-to-tail joining protein W (GpW); gpW, atom by atom analysis; NMR {Enterobacteria phage lambda}
WP_010938911.1	80	6GMH_L	58	97.55	5.1e-08	16%	6.51337	| RPB1, DNA-directed RNA polymerase subunit; DNA, RNA Polymerase, DSIF, PAF1c; HET: SEP, TPO; 3.1A {Sus scrofa}
WP_010938371.1	220	6NFR_A	111	97.58	5.2e-08	14%	9.87755	| CopC; CopC, metallochaperone, copper binding, METAL; HET: SO4; 1.0A {Pseudomonas fluorescens}
WP_164928124.1	135	6NY2_Y	133	97.43	1.4e-07	13%	10.2371	| CasX/DNA/RNA Complex; CasX, sgRNA, target DNA, CRISPR; 3.2A {Deltaproteobacteria bacterium}
WP_164928140.1	91	2L6R_A	57	97.37	1.6e-07	21%	6.34828	| Head-to-tail joining protein W (GpW); gpW, atom by atom analysis; NMR {Enterobacteria phage lambda}
WP_010939876.1	208	5KEC_A	134	97.27	2.6e-07	11%	7.25976	| Flagellar brake protein YcgR; MrkH, K. pneumonia, biofilm, c-di-GMP; 1.949A {Klebsiella pneumoniae}
WP_010937554.1	285	2F93_B	95	97.33	2.8e-07	15%	13.187	| Sensory rhodopsin II, Sensory rhodopsin; MENBRANE PROTEIN COMPLEX, SIGNAL TRANSDUCTION; HET: BOG, RET; 2.0A {Natronomonas pharaonis} SCOP: f.17.4.1
WP_010940614.1	139	3BPQ_A	52	97.28	2.9e-07	6%	6.37306	| Antitoxin RelB3, Toxin RelE3 (E.C.3.1.-.-); protein toxin-antitoxin complex, TOXIN; 2.2A {Methanocaldococcus jannaschii}
WP_010940137.1	240	6HN7_B	86	97.23	3.8e-07	15%	8.62562	| Redirecting phage packaging protein C; Redirecting packaging protein, DNA Binding; 3.0A {Escherichia coli}
WP_010940661.1	110	3TM8_A	110	97.13	5.9e-07	7%	8.2418	| Uncharacterized protein; HD-GYP, phosphodiesterase, UNKNOWN FUNCTION, HYDROLASE; HET: PO4, DMS; 1.28A {Bdellovibrio bacteriovorus}
WP_010937503.1	243	6HN7_B	86	97.14	6e-07	15%	8.53213	| Redirecting phage packaging protein C; Redirecting packaging protein, DNA Binding; 3.0A {Escherichia coli}
WP_014524282.1	426	3WWN_B	54	97.11	7.3e-07	17%	9.04824	| Putative acetylglutamate kinase-like protein, OrfF; Zinc finger, Amino acid kinase; 1.85A {Thermus thermophilus HB27}
WP_010939945.1	88	2K9Q_A	76	97.02	1.1e-06	5%	9.36362	| uncharacterized protein; all helix, helix-turn-helix, Plasmid, Structural; NMR {Bacteroides thetaiotaomicron}
WP_010938106.1	98	2K9Q_A	77	97.01	1.2e-06	13%	9.08897	| uncharacterized protein; all helix, helix-turn-helix, Plasmid, Structural; NMR {Bacteroides thetaiotaomicron}
WP_010938702.1	154	5ZFR_C	78	96.67	4.4e-06	15%	6.53389	| Type IV pilus biogenesis ATPase; extension motor, TRANSPORT PROTEIN; HET: PO4; 3.1A {Geobacter sulfurreducens PCA}
WP_010937583.1	123	3DNX_A	106	96.57	8.1e-06	15%	8.76429	| uncharacterized protein SPO1766; structural genomics, APC88088, protein of; 1.94A {Silicibacter pomeroyi}
WP_011792449.1	95	2R5S_A	88	96.56	1e-05	11%	11.7416	| Uncharacterized protein VP0806; APC090868.1, protein VP0806, Vibrio parahaemolyticus; HET: EDO, MES, MSE; 2.14A {Vibrio parahaemolyticus}
WP_010940110.1	287	2HK1_D	249	96.08	3.1e-05	11%	5.62303	| D-tagatose 3-epimerase (E.C.5.3.1.-); TIM-barrel, ISOMERASE; HET: MSE, FUD; 2.3A {Agrobacterium tumefaciens}
WP_164928116.1	326	3GMX_B	133	96.05	3.3e-05	9%	3.77098	| BLP; 2-layer alpha/beta sandwich, PROTEIN BINDING; HET: ACT; 1.05A {Streptomyces clavuligerus}
WP_010939473.1	65	3WWL_A	36	95.96	4.9e-05	22%	6.16425	| Alpha-aminoadipate carrier protein LysW; Zinc Finger, Amino acid carrier; HET: UN1; 1.2A {Thermus thermophilus HB27}
WP_010938012.1	213	6IMJ_A	181	95.79	6e-05	15%	1.92565	| DNA ligase/DNA Complex; AsfvLIG with C:G complex, LIGASE-DNA; HET: MSE, ATP; 2.554A {African swine fever virus}
WP_010939461.1	337	6HN7_B	95	95.77	8.1e-05	18%	6.10032	| Redirecting phage packaging protein C; Redirecting packaging protein, DNA Binding; 3.0A {Escherichia coli}
WP_010940676.1	178	3C8G_A	124	95.78	9.5e-05	6%	7.77406	| Putative transcriptional regulator; APC27974, YggD, Mannitol operon repressor; HET: MSE, MLY; 2.5A {Shigella flexneri 2a str. 2457T} SCOP: a.285.1.1
WP_010937919.1	130	1NNX_A	100	95.56	0.00014	16%	6.75178	| Protein ygiW; ygiW, Structural Genomics, hypothetical protein; 1.45A {Escherichia coli} SCOP: b.40.10.1
WP_010939654.1	222	5DO7_A	214	95.45	0.00019	12%	8.85849	| ATP-binding cassette sub-family G member; ATP-binding cassette transporter, ABCG, Sterol; 3.93A {Homo sapiens}
WP_010940671.1	305	1L9G_A	176	95.24	0.00021	14%	4.54151	| Conserved hypothetical protein; DNA Glycosylase, Base excision repair; 2.5A {Thermotoga maritima} SCOP: c.18.1.2
WP_011792587.1	225	5UWB_B	164	95.28	0.00028	16%	8.4634	| Toluene tolerance protein; Lipid-binding, periplasmic, MlaC, transport, TRANSPORT; HET: PEF, MSE; 2.604A {Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440)}
WP_011176581.1	1131	3EET_A	248	94.89	0.00031	11%	1.98908	| Putative GntR-family transcriptional regulator; GntR-family transcriptional regulator, Streptomyces avermitilis; 1.969A {Streptomyces avermitilis}
WP_164561555.1	114	6TH6_Az	56	94.88	0.00033	23%	1	| 30S ribosomal protein S2, 30S; T. kodakarensis, ac4C, Ribosome, cryo-EM; HET: MA6, 5MC, 6MZ, A2M, OMC, ZN, LHH, 5MU, LV2, OMU, OMG, 4AC, 4SU; 2.55A {Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1)}
WP_014524556.1	97	3ZBI_L	48	94.77	0.00064	21%	6.00279	| TRAF PROTEIN, TRAO PROTEIN, TRAN; CELL ADHESION, BACTERIAL SECRETION; 8.5A {ESCHERICHIA COLI}
WP_010937954.1	362	5L26_C	344	94.74	0.00074	12%	8.81021	| Nucleoside permease; transporter, nucleoside, elevator-type alternate access; HET: URI, 6ZL; 3.4A {Neisseria wadsworthii 9715}
WP_010938657.1	322	5L26_C	313	94.55	0.00097	13%	9.05346	| Nucleoside permease; transporter, nucleoside, elevator-type alternate access; HET: URI, 6ZL; 3.4A {Neisseria wadsworthii 9715}
WP_014524550.1	152	2K9Q_A	77	94.06	0.0013	16%	6.64799	| uncharacterized protein; all helix, helix-turn-helix, Plasmid, Structural; NMR {Bacteroides thetaiotaomicron}
WP_010940657.1	96	3ONJ_A	66	94.24	0.0014	18%	8.73798	| t-SNARE VTI1; helix, Habc, Protein transport; 1.92A {Saccharomyces cerevisiae}
WP_150103627.1	214	2YVY_A	109	93.93	0.0015	22%	6.16786	| Mg2+ transporter MgtE; membrane protein, TRANSPORT PROTEIN; 2.3A {Thermus thermophilus}
WP_011792639.1	148	5ZFR_C	77	93.73	0.0018	18%	6.16904	| Type IV pilus biogenesis ATPase; extension motor, TRANSPORT PROTEIN; HET: PO4; 3.1A {Geobacter sulfurreducens PCA}
WP_011176726.1	594	3ZUQ_A	483	93.72	0.0022	12%	5.62749	| BOTULINUM NEUROTOXIN TYPE B (E.C.3.4.24.69); HYDROLASE, PROTEIN ENGINEERING; 2.7A {CLOSTRIDIUM BOTULINUM}
WP_010939437.1	155	2LFP_A	123	93.26	0.003	12%	7.56785	| Bacteriophage SPP1 complete nucleotide sequence; VIRAL PROTEIN; NMR {Bacillus phage SPP1}
WP_011792655.1	94	1VD4_A	62	92.81	0.0031	10%	1.91742	| Transcription initiation factor IIE, alpha; ZINC FINGER, Transcription; HET: ZN; NMR {Homo sapiens} SCOP: g.41.3.1
WP_010939990.1	446	6J0N_f	193	93.19	0.0032	14%	7.51233	| Pvc1, Pvc9, Pvc11, Pvc12, Pvc4; assembly, Photorhabdus asymbiotica, PVC, contractile; 3.5A {Photorhabdus asymbiotica subsp. asymbiotica (strain ATCC 43949 / 3105-77)}
WP_010937457.1	269	3W1E_A	233	93.00	0.0033	15%	6.05204	| Flagella basal-body protein; H-ring formation, the flagellar basal; 2.0A {Vibrio alginolyticus}
WP_014524278.1	229	3ZBI_L	45	93.33	0.0033	22%	6.83836	| TRAF PROTEIN, TRAO PROTEIN, TRAN; CELL ADHESION, BACTERIAL SECRETION; 8.5A {ESCHERICHIA COLI}
WP_010937717.1	201	3CWI_A	77	93.02	0.0044	12%	9.77996	| Thiamine-biosynthesis protein ThiS; alpha-beta protein, Structural Genomics, PSI-2; 1.9A {Geobacter metallireducens GS-15}
WP_010938151.1	248	6GAP_A	168	92.47	0.005	15%	4.96152	| Outer capsid protein sigma-1; cell attachment protein, reovirus sigma1; 2.15A {Mammalian orthoreovirus 3 Dearing}
WP_010939895.1	68	2DS5_B	49	91.87	0.0067	16%	2.04219	| ATP-dependent Clp protease ATP-binding subunit; treble cleft zinc finger, METAL; HET: PG4; 1.5A {Escherichia coli} SCOP: g.39.1.11
WP_010938442.1	141	2K9Q_A	77	91.80	0.0075	10%	6.84043	| uncharacterized protein; all helix, helix-turn-helix, Plasmid, Structural; NMR {Bacteroides thetaiotaomicron}
WP_010939014.1	82	3CI9_A	47	91.67	0.0094	15%	6.61391	| Heat shock factor-binding protein 1; triple helix, Nucleus, TRANSCRIPTION; 1.8A {Homo sapiens}
WP_010938964.1	54	3WWN_B	37	90.95	0.0098	24%	4.3761	| Putative acetylglutamate kinase-like protein, OrfF; Zinc finger, Amino acid kinase; 1.85A {Thermus thermophilus HB27}
WP_010937351.1	204	2RFF_A	106	91.32	0.011	12%	7.91083	| Putative nucleotidyltransferase; NP_343093.1, A Putative Nucleotidyltransferase, Nucleotidyltransferase; 1.4A {Sulfolobus solfataricus P2}
WP_010937917.1	93	4HSP_A	90	91.28	0.011	18%	6.93604	| hypothetical protein; PF11736 family protein, DUF3299, Structural; HET: EDO; 2.45A {Pseudomonas aeruginosa}
